id,user_id,species_name,date_observed,location,coordinates,image_url,notes,ai_identification,created_at
1686721500000,sample_user,Himalayan Pine,2023-01-20T09:30:00,Margalla Hills Trail 3,"[73.061, 33.745]",/static/images/samples/pine_tree.jpg,Tall mature specimen on hillside,This appears to be a Himalayan Pine (Pinus wallichiana) a conifer native to the Himalayan region.,2023-01-20T11:00:00
1686721600000,sample_user,Butterfly Bush,2023-02-05T10:15:00,Shakarparian Park,"[73.082, 33.693]",/static/images/samples/butterfly_bush.jpg,Flowering shrub with multiple butterflies visiting,This is a Butterfly Bush (Buddleia davidii) known for attracting pollinators especially butterflies.,2023-02-05T11:30:00
1686721700000,sample_user,Himalayan Cedar,2023-02-12T08:45:00,Margalla Hills National Park,"[73.058, 33.749]",/static/images/samples/cedar.jpg,Majestic old growth tree estimated over 100 years old,This is a Himalayan Cedar (Cedrus deodara) also known as Deodar a sacred tree in Hinduism native to the Himalayas.,2023-02-12T10:00:00
1686721800000,sample_user,Wild Himalayan Cherry,2023-02-22T09:20:00,Daman-e-Koh,"[73.067, 33.734]",/static/images/samples/cherry.jpg,Tree in full bloom with pink blossoms,This is a Wild Himalayan Cherry (Prunus cerasoides) known for its beautiful spring blossoms.,2023-02-22T10:30:00
1686721900000,sample_user,Bougainvillea,2023-03-05T11:30:00,F-9 Park,"[73.034, 33.698]",/static/images/samples/bougainvillea.jpg,Vibrant magenta variety growing over garden wall,This is Bougainvillea (Bougainvillea spectabilis) a popular ornamental vine with colorful bracts.,2023-03-05T12:45:00
1686722000000,sample_user,Amaltas,2023-03-15T10:20:00,Constitution Avenue,"[73.091, 33.726]",/static/images/samples/amaltas.jpg,Tree with spectacular golden yellow flower chains,This is Amaltas (Cassia fistula) also known as Golden Shower Tree with striking yellow flowers.,2023-03-15T11:30:00
1686722100000,sample_user,Chir Pine,2023-03-25T08:50:00,Upper Margalla Hills,"[73.046, 33.760]",/static/images/samples/chir_pine.jpg,Group of pine trees with long needles,This is a Chir Pine (Pinus roxburghii) a common conifer in the Margalla Hills region.,2023-03-25T10:15:00
1686722200000,sample_user,Indian Trumpet Flower,2023-04-05T09:40:00,F-10 Park,"[73.022, 33.694]",/static/images/samples/trumpet_flower.jpg,Small tree with bright yellow trumpet-shaped flowers,This is an Indian Trumpet Flower tree (Tabebuia aurea) known for its showy golden blooms.,2023-04-05T11:00:00
1686722300000,sample_user,Banyan Tree,2023-04-15T10:30:00,Shakarparian Park,"[73.080, 33.690]",/static/images/samples/banyan.jpg,Massive tree with aerial roots covering large area,This is a Banyan Tree (Ficus benghalensis) a sacred fig with characteristic aerial roots.,2023-04-15T12:00:00
1686722400000,sample_user,Bottle Palm,2023-04-25T11:15:00,Diplomatic Enclave,"[73.103, 33.715]",/static/images/samples/bottle_palm.jpg,Distinctive palm with swollen trunk base,This is a Bottle Palm (Hyophorbe lagenicaulis) an ornamental palm with a distinctive swollen trunk.,2023-04-25T12:30:00
1686723500000,sample_user,Himalayan Yew,2023-08-15T08:20:00,Upper Margalla Hills,"[73.043, 33.765]",/static/images/samples/yew.jpg,Slow-growing conifer with red berries,This is Himalayan Yew (Taxus wallichiana) a medicinal and endangered conifer species.,2023-08-15T09:45:00
1686723600000,sample_user,Indian Rosewood,2023-08-25T10:10:00,Shakarparian Park,"[73.079, 33.688]",/static/images/samples/rosewood.jpg,Tall hardwood tree with small purple flowers,This is Indian Rosewood (Dalbergia sissoo) also known as Shisham a valuable timber tree.,2023-08-25T11:30:00
1686723700000,sample_user,White Silk Cotton Tree,2023-09-05T09:30:00,F-9 Park,"[73.032, 33.697]",/static/images/samples/silk_cotton.jpg,Large tree with buttress roots and white flowers,This is a White Silk Cotton Tree (Ceiba pentandra) with characteristic spiny trunk and large buttress roots.,2023-09-05T10:45:00
1686723800000,sample_user,Persian Lilac,2023-09-15T11:20:00,Blue Area,"[73.078, 33.718]",/static/images/samples/persian_lilac.jpg,Ornamental tree with fragrant purple flowers,This is Persian Lilac (Melia azedarach) also known as Chinaberry Tree common in urban areas.,2023-09-15T12:40:00
1686723900000,sample_user,Indian Beech,2023-09-25T10:40:00,F-10 Park,"[73.022, 33.695]",/static/images/samples/indian_beech.jpg,Medium-sized tree with pinnate leaves,This is Indian Beech (Pongamia pinnata) a nitrogen-fixing tree with medicinal properties.,2023-09-25T12:00:00
1686724000000,sample_user,Blue Jacaranda,2023-10-05T09:15:00,Diplomatic Enclave,"[73.102, 33.714]",/static/images/samples/blue_jacaranda.jpg,Tree in second bloom with lavender-blue flowers,This is Blue Jacaranda (Jacaranda mimosifolia) known for its magnificent blue-purple flowering display.,2023-10-05T10:30:00
1686724100000,sample_user,Red Silk Cotton,2023-10-15T08:30:00,Shakarparian Park,"[73.081, 33.691]",/static/images/samples/red_silk_cotton.jpg,Tree with striking red flowers and spiny trunk,This is Red Silk Cotton (Bombax ceiba) also known as Semal with bright red flowers that bloom before leaves appear.,2023-10-15T09:45:00
1686724200000,sample_user,Indian Gooseberry,2023-10-25T10:50:00,Margalla Hills Trail 2,"[73.054, 33.743]",/static/images/samples/gooseberry.jpg,Tree with round green fruits high in vitamin C,This is Indian Gooseberry (Phyllanthus emblica) also known as Amla a medicinal tree with nutritious fruits.,2023-10-25T12:15:00
1686724300000,sample_user,Queen's Crape Myrtle,2023-11-05T11:30:00,F-7 Park,"[73.047, 33.719]",/static/images/samples/crape_myrtle.jpg,Small tree with beautiful pink-purple flowers,This is Queen's Crape Myrtle (Lagerstroemia speciosa) known for its stunning flowers and peeling bark.,2023-11-05T12:45:00
1686724400000,sample_user,Indian Cork Tree,2023-11-15T09:40:00,Rawal Lake Periphery,"[73.132, 33.704]",/static/images/samples/cork_tree.jpg,Fast-growing tree with large heart-shaped leaves,This is Indian Cork Tree (Millingtonia hortensis) also known as Tree Jasmine for its fragrant white flowers.,2023-11-15T11:00:00
1686724500000,sample_user,Himalayan Maple,2023-11-25T08:15:00,Upper Margalla Hills,"[73.045, 33.761]",/static/images/samples/maple.jpg,Tree with distinctive autumn foliage,This is Himalayan Maple (Acer caesium) displaying vibrant red and orange autumn colors.,2023-11-25T09:30:00
